Title,Price,Location,City,Beds,Baths,Area,
STATE OF THE ART ARCHITECT 1 KANAL FULLY MODERATE HOUSE FOR SALE,6.67 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal,
1 Kanal Spanish Beautiful House For Sell In Dha Lahore,7.45 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal,
5 Marla Brand New House For Sale In Lake City Sector M-7B,2.28 Crore,DHA Phase 6,DHA Defence,4,4,5 Marla,
5 MARLA DOUBLE STOREY SLIGHTLY USED HOUSE,1.8 Crore,DHA Phase 6,DHA Defence,4,6,5 Marla,
1 Kanal Full House At Prime Location For Sale In DHA Phase 6 Lahore.,6.99 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal,
Parklane Homes 5 Marla Modern House For Sale Available In Paragon City Executive Block,1.95 Crore,DHA Phase 6,DHA Defence,3,3,5 Marla,
20 Marla Modern Design Brand New Super Hot Located Mazhar Munir Designer Bungalow With Full Basement Is Available For Sale In The Best Block Of DHA Phase 7 Lahore,5.6 Crore,DHA Phase 6,DHA Defence,6,6,1 Kanal,
20 Marla Brand New Super Hot Located Designer Bungalow Is Available For Sale In The Best Block Of DHA Phase 4 Lahore,6.5 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal,
496 Square Feet 1-Bed Luxury Apartment In Mayfair Residencia Izmir Town Canal Road Lahore,99.2 Lakh,DHA Phase 6,DHA Defence,1,1,2.2 Marla,
1 Bed Room Semi Furnace Apartment For Sale In Prime Location Bahria Town Lahore,55 Lakh,DHA Phase 6,DHA Defence,1,1,1.8 Marla,
Designer House 1 Kanal In Dha Lahore For Sell.,7.45 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal,
43 Marla Corner On Main Road Faisal Rasool Designed House For Sell In Dha Lahore.,44.5 Crore,DHA Phase 6,DHA Defence,6,6,2.1 Kanal,
3 Bed Apartment Available For Sale In Askari 11 Lahore,2.45 Crore,DHA Phase 6,DHA Defence,3,3,10 Marla,
"""Elegant 1 Kanal Home In PHS 6: Modern Luxury And Prime Location""",6.35 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal,
"Prime Location 5 Marla House For Sale In Park View City, Lahore",1.8 Crore,DHA Phase 6,DHA Defence,4,4,5 Marla,
"Elegant 5 Marla House Available For Sale In Park View City, Lahore",1.65 Crore,DHA Phase 6,DHA Defence,4,4,5 Marla,
857 SQFT 2BHK in Gulberg III Get Possession in only 10 months and Pay in 3.5 Years Your Dream 2-Bed Apartment in Gulberg 3 Unbeatable Offer!,2.53 Crore,DHA Phase 6,DHA Defence,2,2,3.8 Marla,
20 Marla farmhouse for sale,65 Lakh,DHA Phase 6,DHA Defence,3,3,1 Kanal,
Corner House For Sale,3.25 Crore,DHA Phase 6,DHA Defence,5,5,10 Marla,
One Kanal Brand New House For Sale,4.5 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal,
10 Marla Brand New House For Sale,3.7 Crore,DHA Phase 6,DHA Defence,4,5,10 Marla,
10 Marla Vectoria House for sale in Paragon City orchard 1,5.5 Crore,DHA Phase 6,DHA Defence,4,4,10 Marla,
10 Marla Spanish House for sale in Paragon City orchard 1,4.45 Crore,DHA Phase 6,DHA Defence,5,5,10 Marla,
5 Marla House for Sale in Paragon City Block wood,2.2 Crore,DHA Phase 6,DHA Defence,3,3,5 Marla,
5 Marla Spanish House for Sale in Paragon City Block wood,2.2 Crore,DHA Phase 6,DHA Defence,3,3,5 Marla,
2 Kanal Stunning Bungalow For Sale In DHA Phase 6,15 Crore,DHA Phase 6,DHA Defence,6,6,2 Kanal,
"Unity Estates Offers To Buy A 3-Kanal Farmhouse On Bedian Road Fully Developed Society With Gas, Electricity And High Security",8 Crore,DHA Phase 6,DHA Defence,4,5,3 Kanal,
1 Kanal Antique Design Bungalow By Renowned Architect Of Pakistan,9.8 Crore,DHA Phase 6,DHA Defence,5,6,1 Kanal,
1 Kanal Full Basement Furnished Ultra Modern Bungalow For Sale In Phase 6,16.5 Crore,DHA Phase 6,DHA Defence,6,6,1 Kanal,
